,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza pública,Enseñanza privada,Salud humana pública,Salud humana privada,Servicios veterinarios,Servicios sociales,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento",Servicio doméstico
"Edición de libros, folletos, grabaciones y otras ediciones",39.56551411570734,8.778568387307862,5.795580765366688,9.945338448591205,4.845144251983026,43.27157372798762,8.928700730416686,6.726718692387084,0.061943424630106964,3.1328958440880643,0.5640815626455155,4.618706023714844,0.41603920925757476,1.8875680752881723,5.736026588924016,0.6521624279184701,2.004890172144802,2.59744600253163,4.372673562891036,3.0120466289722096,0.351670575533353,6.006288922965525,0.15426373957821557,0.6068245532448481,2.327417152973253,3.662485014349118,0.1224956396301712,1.426872285801994,0.5230967643987311,5.562378923953775,0.7769723427970858,2.4622969671594412,0.48217514412667384,1.1366518472935887,1.0671927813054916,5.002937299444991,0.7470887911510441,0.08803532782212305,2.152423382073008,1.0467319711694627,1.797589858924512,0.6587842421429206,1.109729728693551,0.9546583255573341,22585.14296174421,2772.918483686244,10617.824334200233,0.0,1.9392002027607103,0.8764498670600794,1.38110468418193,1.2187643090237033,6.68341594245934,3.202924449846476,2.136539332098986,0.22237669963631077,0.4046394425585655,1.7728215098124775,6.567920053665179,0.7042826225769844,1.294415462289809,1.0949225634635302,0.7072440556229883,0.9463124687913226,5.568032568859781,1.033270911869444,1.0383861144034512,1.4007578307599577,0.795010162259111,1.8850867443746346,3.2465382819785367,1.4107190146419717,2.061426621204881,1.1458053676176012,2.1742302981390385,1.0076948991994081,0.07861258631210985,1.2403020039037336,0.9538506619993331,0.32818062573445866,1.1503821277796076,0.8480467359011851,1.1945344022836695,0.7077824979949892,1.5924433151922255,3.3612265072146976,0.7931256139571085,5.392231134401536,0.309786504265417,0.2662597529543721,5.038205274811041,7040.292010919395,2.797178508213449,0.6059145856361668,1.6970895901905718,0.0,5076.259558759421,8426.011155889515,814.8496586657642,2278.9901920188117,3.489752523699488,6.587627457411899,0.0871365595754059,0.34982244450294664,5.636797744217365,15.779008360346449,1002.2315744107572,4016.9071546801156,4427.025533918914,13.22669759316207,108256.66155119216,12378.794432950403,142.16099992949754,1629.7286748675485,28544.471896332383,0.0,55786.37716066701,0.0,0.7376384600135104,13.457241927324986,8364.590070015616,9.336146163635185,13.868969847608772,0.0
Edición de periódicos y revistas,1355.69179133566,300.7930863111755,198.58256477226604,340.7718564550992,166.01635128615374,1483.9112295831792,799.1629430963237,230.4875222200884,2.1224592723014046,121.14551033762777,299.259984434446,7245.970181897153,204.73010956648102,928.8596129137635,9194.689972017068,723.6105342489413,5962.557945667183,4072.4875109953705,17371.31717839693,3324.09010807468,1313.6087861649257,15589.277834916267,435.09502741451513,7878.460284227322,3063.9266511778305,34199.73126692909,2253.921769763882,12528.870558227898,15495.389416126844,31997.153245055724,12361.644813459929,1396.6897223736778,282.8246025174725,2164.754789808083,1346.361337725864,9624.2978690515,390.245945151722,162.8811575036791,6073.631502568189,519.9594622413547,1399.2209576179612,804.791443359211,1246.6897926610563,8531.899816875333,8665.83120865559,44319.74805908937,12540.730969543665,12833.473124659406,1378.986386563095,5189.884132318216,671.746499411312,4768.235314042579,55891.489823336095,54956.060374462315,3093.1203365983624,252.57259128744673,2023.320768467956,1257.86292393143,7898.111216368003,581.9245060758481,1170.0696405865942,2688.0671627747333,1225.2374756602303,939.6173973337375,2626.4077634452638,673.312888566106,418.15389401704425,984.7026790606085,407.8269144562697,1422.201233713559,4848.515469571742,1397.565425908973,2240.4893902887043,3352.0548760653423,1503.678971415745,5381.630771869585,83.96109798316566,1018.1906097030553,1460.7667427939573,214.51658747985135,810.9445063593529,697.6448796896993,1309.2661760471071,2018.6246123393694,1855.7710047942219,17973.33634946842,941.084347926521,3377.929336223021,151.33736639707865,378.1080720229236,6202.477227238124,2179.5008837237347,4054.7778245999266,1119.688685131483,3655.4972190727426,0.0,82616.37450613368,136518.28702101702,6408.640691684001,15849.856558595673,3490.5839875069696,5028.850531024556,42.87931760315029,269.93294187288194,4013.403094501178,25557.823101345883,6486.574235801597,36402.91949006202,106311.1662817158,43991.3884580982,74888.18270107172,3480.488334595451,51211.7481113744,1643.2489536189041,4945.145781190305,1574.8165315693648,62630.892192962085,208.49584036009537,1363.699774146476,1475.3655781872453,50874.55603491505,27966.202238552538,78522.47226236906,0.0
Impresiones y reproducción de grabaciones,1942.6907863648553,430.1798010359801,284.2452069468314,488.1904800563568,232.7628007817596,2126.3209166362303,564.2411558847485,320.98612424578056,3.041314420106027,172.30930712184414,568.2098757771331,4023.059886251021,358.51952574333546,1588.9523792697842,3459.7665274643446,575.7190535586793,1015.1652836402519,4823.979096175951,6273.214025863277,3126.9084264067146,610.8859171158472,5255.081296987494,931.9592399735394,653.0108570805734,2431.010890885987,3489.368450667284,339.371296755785,950.8930070004184,375.5184990360642,3936.955313253392,2337.7696834901417,65488.684757252195,77.36588634361547,429.7847991131281,182.53888291952345,2224.155196229037,1589.5619690156539,256.73871003842805,1433.1378409636432,1144.0422138408965,915.9883541818347,1050.8724526046958,36056.59668182441,3518.2068288656196,5628.701893804753,48246.81967591312,331845.62148228294,8.238524196914721,2499.37779318927,1706.0071556766677,2803.6728474009406,620.2354254574392,11482.215368025674,5919.033526709047,1965.3036541644997,119.27739026393157,215.17126261206388,789.200138513031,5094.918033631099,1110.7205690729186,1374.4206113197436,2040.4659817065162,1961.353248394216,1055.1535238347487,7094.887801317896,2193.456091393755,814.0434979836282,2008.0843050098185,818.563041120189,885.4522204524562,1405.683443520611,687.4747313751458,1208.009377180409,507.24441890250324,902.5348005419388,670.3857312856995,70.7374635991348,550.2580854442007,432.87235708161603,211.26912263903446,753.0286199465282,380.32838565060547,732.7951260595764,346.12486493239834,883.8590590933322,3272.752679734368,356.926690120628,2313.04470136473,155.99552395934901,343.6753598869197,2305.1919932088294,9160.300640183379,2464.6765031522223,535.1097781573073,1499.3022725114638,0.0,104137.146105272,171275.06783475346,2630.372321157422,7342.78152687604,4101.581040154633,5814.56449890184,77.63321006040563,308.7447872140458,6066.890039723028,13798.643891303878,5786.907926549874,41746.5640977593,85908.62801364751,11775.166147931677,168534.62826309376,23743.84864833633,59717.77931662715,2880.908641216072,9891.228103202502,1986.0677823229091,27771.4071549378,366.00150529978686,646.8378734375269,3021.2417099739173,86577.68556396574,8586.056523297506,89131.07351255056,0.0
Refinación de petróleo,261298.031310178,30997.225067763055,19537.699976460728,48053.867330219284,8380.579158794108,65842.81353541078,9544.755427535936,117654.4792314068,425.1014808934486,12977.911480260957,64357.63594905283,1.1090683491999962,1937.8651021669684,118147.89551585887,13255.68836566916,1485.8132252205905,3143.211319118451,5717.984627943496,8381.083596243223,6479.7034318471215,588.583748244836,8057.634486640041,8094.471009927828,3153.652257015524,1356.0260621123896,5607.11412695788,105.210592638687,4246.744222184672,967.5923645061655,9479.036299938933,655.4091247177525,0.7491233062127283,470.2788893035985,1904.1933551198247,761.3378635846866,1513.8215466949698,2509.4146298184696,69.40438865704263,1512.4772810082504,7775.468559516794,8711.477115099684,2920.7824083753685,2008.0953134264596,1135.4334998363252,20.03822623233857,405.3518572713784,806.2489173677311,207373.75475592987,45037.46211850072,14120.094409191399,27546.12253554908,4811.928978475582,2224.3227832904786,8940.893796105096,668.9623660314378,637.5040014480393,1235.2651502508436,5938.3152723082885,3010.9930567961596,609.9367547873723,5847.577241876279,3639.260776179602,12342.50244405779,3232.2090376756264,5392.905586659193,16974.49837701631,7480.621708693114,2655.1689288332614,1330.0489939229085,1567.9667118342188,2432.081140462323,2138.1155357534976,2003.1775221320859,2623.0669907165534,2043.7492054064292,1534.708561976806,0.0386583431200439,3630.574552128294,206.11606977176663,274.63762065773255,901.3732734509971,303.60439991625645,256.0079090326292,181.53145911782343,1827.0053280992772,8724.203734778497,653.7910776375192,7147.42929071062,260.6847472980429,135.71355868995397,3882.754667797008,626.9592431317415,77042.5859272433,868.0575027980306,3432.7223755680297,120736.07022167007,74155.33232197243,113760.17839273962,2637.458009893716,3648.2401813811184,321886.2557075307,931645.9865905443,0.0,14781.272450440976,109731.8831405693,0.06901734344686153,5632.181118168335,4456.213526445045,2860.054626467285,1554.1323694460334,104974.71578236856,9.364532114136798,38041.72025487681,3458.5209437471267,978.4653184592205,4715.16154602791,82498.79578803082,0.05217908821912705,151.09335677641042,27156.463524145955,18611.22923970968,13025.212352724016,7599.02068517768,0.0
Química básica,31323.103182911815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8556619817318989,7266.57856699147,921.5132657139372,22295.86799420111,5.947619231066028,0.0,0.0,0.0,123593.321098985,0.0,0.0,0.0,3327.760134160311,0.0,0.0,2755.409760072238,0.0,2403.262270981977,2310.865464007019,67210.59397893916,1582.6116364199788,12059.406965569233,21260.239961387007,2827.1371102195167,3886.710346534559,0.0,40688.5558456126,0.0,7535.575614439975,22893.87760086243,0.0,28577.095979165024,26463.240328103802,23763.08381894142,0.0,3500.0,7304.19123221367,53367.304401650516,102447.61883818386,107844.96990901178,185948.75333186213,27383.80694979874,2104.659276630772,28116.91311371544,5102.571426850577,27659.62637443351,7276.1719168465215,9846.1174401492,53814.09770224804,560.160271963007,176.5331997032706,0.0,0.0,0.0,36984.74616963882,1000.0,4000.0,0.0,300.2775838974837,166.75396309076967,0.0,10.165986520993862,379.9701698267375,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18121.885112878554,0.0,7072.096881338837,3250.4147271599068,0.0,25191.459039016077,3.6029244611764097,6000.0,0.0,19308.1264919537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33609.27626544267,0.0,0.6002131440156504,28411.22492570399,54895.46511081222,200.66922889197002,0.0,0.0,8000.0,0.0,7073.731338029334,0.0
Fertilizantes y plaguicidas,642372.5202221368,24537.178964970346,111868.30453314171,114206.23783538953,23711.867392540298,29514.460059335965,8750.897814130232,972.8270172658029,26.34699041574561,58.405353786325286,1.4794238548748768,0.0,0.0,0.0,0.0,71.15415054321001,539.6499002509639,1262.878990482944,116.76687837928034,0.0,0.011186717320185868,1489.931543371833,135.62243564219327,4.996305386753347,172.46101893612695,37.87740204770909,0.0,800.0,0.8004325942686243,2.9251525609983795,0.0,1500.0,1556.7145492116267,10.008057902101017,0.0,1.0826061847405875,3163.4211431451295,406.336636261893,0.0,0.0,2.128555653684919,0.5726542331550118,7.240350457612762,0.0,0.0,0.0,0.0,0.0,2981.9060323563144,85771.73946397167,95.52295733427606,373.25953575451433,3257.3103681312136,35.912859396046834,444.0382201552549,12.041426977008044,0.0,2.933678386189233,205.39194580392478,7.461135968040237,2.3140769260758525,0.0,0.0,0.059447087967767945,8.84383469135081,0.0,0.0,0.0,32.038903125802214,0.0,5.032266041380427,0.0,0.0,7.095084595708088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.175936963206354,0.0,0.0,2.5558413051522733,1.5037517060503016,0.0,0.0,0.0,0.0,0.0,0.885029108691919,0.0,0.0,0.0,0.16385417212350084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.2582871935356,0.0,11257.461778281453,14.801781225769476,31.3294196696316,164.7004196769097,159.92220375580695,18.67239262687234,0.0,0.0,18.75930083559791,0.11979699649689797,0.0,0.0
Materias primas plásticas y caucho sintético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58183.372021039984,0.0,0.0,236.4280476949176,0.0,35459.89153520405,3482.0302800109616,33926.409516944994,2591.337742802192,3727.27815208245,10753.54334481174,194.2277081683742,0.0,4283.808897122963,0.0,0.0,620.6157378184009,179752.8480095558,13498.953138309276,0.0,4000.0,609.5854718469701,20503.660909509912,5881.73639126163,21669.144570343844,849120.0601917219,9104.245858951093,0.0,0.0,0.0,0.0,0.0,15.003125978379359,2074.930584709816,0.0,1208.9982871222246,758.987166500794,0.0,3903.4041955040925,9216.224582781177,966.6228312364605,0.0,5876.635061697229,0.0,1439.089499732747,13601.11263966935,35640.64007857489,7044.29709571272,6642.819106020774,23318.58124680546,0.0,8382.399927586064,0.0,4682.946601045369,32101.448870393004,0.0,0.0,2000.0,73.97720408081742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.1320588313174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.681981114704683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinturas y barnices,740.2468847689626,152.9317888162767,102.16337655834921,177.5838894569504,86.08538056003147,771.3036918744142,178.36472077730963,140.66558495094446,1.0792047254310733,61.59881497240167,6502.322332108925,2538.843110744286,217.85921326260853,960.8100663121512,1619.2237412186169,365.4546301030761,514.499980482428,665.2923226933607,1436.0667298367075,783.3902259678816,99.76804881926276,1853.8569235790656,33.785993854818166,128.84565376576296,643.5901773537425,1036.9768782738483,34.816015606365596,396.34844436101815,137.43836100654238,1597.6831237761064,201.4172675798641,485.5605270595546,3778.520888306153,809.0833691670094,302.8171788597699,1413.3453911110996,3713.9200435778184,0.0,434.21020892101603,336.4503439038482,9639.634163085351,191.19668838299862,8240.89006889859,4474.880459908925,92.79710798826,4991.021371547511,27151.33322956136,0.0,0.0,0.0,0.0,50888.64500746847,0.0,63.28946002573178,0.0,0.0,0.0,0.0,21866.385546597245,0.0,0.0,27883.179446469945,265.2737805900382,4620.657003506361,3877.918085322708,2177.637836375706,2539.3924517499936,11611.815502489304,9675.691518712441,0.0,7697.985251962768,1420.311864392006,2423.4252177094995,5624.885599093714,2697.5590375168504,8222.989550670372,0.0,2089.1983860995915,0.0,0.0,1186.71284828074,3703.2880455947516,625.1550465341386,32.75998008141593,1401.900832457453,32620.749453316133,2262.1977053894843,5849.640303419503,1729.9162983493961,1302.5360650689763,41591.94365405483,2083.6982206484404,1523.671845510392,339.6622796846125,953.3380344808791,374191.28321293544,1463.1187585379591,11205.942524415148,2193.3429348748477,6121.77479924055,2357.0383887828693,3700.4884935530167,0.0,196.46331124422466,2917.7259732495036,8421.995777641458,1253.680590424668,9269.240962783748,15932.65584760619,7146.728521869654,20002.267934516647,0.0,15113.17204030836,744.7917531514018,0.0,3586.756498174947,4716.538027719913,0.0,0.0,271.6321614996406,2143.464808448177,4771.851014071351,3222.971174890484,0.0
Productos medicinales,43672.231115082264,0.0,30000.0,30000.0,0.0,176489.56240975382,28504.225652085646,0.0,0.06754754572431827,3.8554767903282947,25.25074374721193,0.0,0.039527795543979755,0.0,0.0,0.0,838.8812366127422,0.0,0.0,0.0,51.680871740876796,128.21255135295706,5.52270044095037,0.0,36.27221433517988,520.299217559147,0.0,0.0,0.0,6536.5745832108705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55758.720239403316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013918050840736065,0.0,14.613201630802457,0.0,0.0,0.0,1351.6873932145488,5552.743243629415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6817954402983664,5224.611131546795,0.0,13631.182591899513,7207.0536287910045,15241.917787073777,403087.12873190973,437250.89232273365,25664.043646899863,11.271064792109346,0.0,14824.877765854406,0.8773523500098196,9213.739054902155,0.0
"Jabones, detergentes y cosméticos",4982.9430974016095,738.5819624467765,452.4514818497962,1361.8051167451447,327.2108536893864,1082.7040591061593,291.3387485627519,1058.3606436981518,0.8754664712622936,1010.9475284887651,1822.1041092962919,156.47469490361536,0.0,0.0,5117.406910599024,1499.0427382971832,1310.1972804292825,596.5744506181946,45883.31183767897,0.0,910.6209023348061,6536.708002142354,135.3421760617624,197.7299691235703,867.6509710596608,1121.846556098626,0.0,986.1082182171223,380.887492513572,2196.622931579536,134.48600398093768,1623.3122875908575,2492.359595663714,580.590023898768,1905.0138250469531,5602.661463186092,12275.895135330551,112.36186941532675,897.304816118267,407.4409868187349,5985.849321649528,566.5649964143523,1731.647916179549,458.50093647440167,179.85708098070708,1741.8851495237498,7643.460411914155,1067.08242526939,12710.130025853075,13330.159556528602,20945.66896858177,0.0,9609.673829799152,247654.19080688793,7239.973449150158,20.268336301428874,805.9906375160125,983.8890846983606,3545.0337392156866,590.9077106595479,867.2225476417046,0.0,467.9585106167566,1131.0477105661655,5883.62221943705,151.98365660821153,492.440350950885,529.7911691980985,1473.927554593573,840.021423175946,2330.4806813776822,495.72862090658793,0.0,565.6276996202415,558.5289602973304,371.2010395125051,73.16080397397928,682.2393519178847,683.1120195453259,0.0,925.846944194779,163.76165763660387,668.8588424559431,88.78742747159068,1112.9272217284242,2440.8145001027715,460.72633229510274,2337.643024472635,132.78126422997292,43.64362950136886,2188.7383070388505,0.0,1558.7424402964148,0.0,0.0,3404.103986719133,2832.7587946110066,1130.9829206271256,34423.581987742575,50728.31417553379,529.5259531105606,1025.8681734261527,29.976119185514996,45.47581742179122,705.364298894536,1955.7562941597832,291.1823589680171,2202.3701643454474,2061.6415735991554,1717.9463819019957,131310.08697752477,4833.894649139401,17848.627926685953,4795.923099289256,10145.888134505978,1667.339225820306,10809.864924176312,3457.8321617052247,10326.750290909018,0.0,23226.87269948038,14.979346293457304,233973.75860818123,0.0
Otros productos químicos,0.0,0.0,0.0,3877.672935796527,0.0,1603.8234620178066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5178.395857208773,0.0,0.0,262.2138231929371,12485.121848212031,12.979584248050385,0.0,1709.150321021294,0.0,458.36899226170095,106.13937021399298,2713.7920439414293,0.0,1540.9044042696426,38.09298212214322,469.4253960449089,0.0,0.0,8484.635133604716,165.2485399856582,2500.0,651.4464658426134,11385.381213499646,0.0,3000.0,13031.27676671318,35.145751302638786,21227.577978734214,10368.829729715068,16680.58893455107,0.0,3992.932000102123,21796.08959177818,0.0,85127.00684763007,539.645793970706,163896.81753639446,33357.3934544777,1698.737733939398,106858.1594224337,67879.45036150297,24817.755030381908,22661.52537866433,6659.795631471318,46975.83477684069,500.0,10358.012173099274,2942.003396522674,6900.023034473915,5665.10967468116,0.0,42.52181835199146,0.0,0.0,0.0,282.58726481050326,3.6619646407690642,0.0,0.0,0.0,0.0,1190.3050803786427,0.0,100.80289952108497,0.0,710.4913031954584,2979.7034438200717,1055.5056970431208,912.9474685901632,0.0,0.0,0.0,1101.8240143244468,0.0,3250.4147271599068,0.0,21064.348348982498,0.0,1987.6788380909702,61.62951411824781,0.0,260.45546635380464,0.0,0.0,21.84156182034361,437.36415218355125,0.0,0.0,0.0,0.0,0.0,0.0,0.0026681132023868587,0.0,0.0,0.0,108300.70464063899,0.0,17122.313301936072,0.7024283904086768,1.8133779806296422,0.5130091946828115,11635.572830097288,0.0,6.20881838217738,0.0,2536.0432705781036,0.4025055114977991,0.0,0.0
Fibras sintéticas manufacturadas,0.0,87.02047737394588,0.0,296.1022880358981,0.0,0.0,0.0,0.0,0.0,0.0,306.92024009926774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.347936485329,0.0,0.0,0.0,15.323924803201212,0.0,0.0,0.0,0.0,0.0,72868.52748119284,0.0,17781.896866531046,63181.969515913755,20729.455022397524,0.0,253.554579805171,1608.812605478649,0.0,132.39724131436367,0.0,2187.689260107777,1577.656711708973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12012.275199026857,64090.92483216594,2641.1048134083467,14508.684995842756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41246841290926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.4315352962833,0.0,0.0,0.0,0.0,0.0,807.8823122054451,0.0,1475.156221221182,0.0,0.0,815.352372236611,0.0,0.0,0.0,0.0,838.4067493266771,5430.343909131728,9032.254467610726,193.9718527936835,252.96074843565975,0.0,0.0,0.0,0.0,25.026331252935236,0.0,0.0,13.361063243532211,27.426106685677336,10.349179467166595,28.86913919513357,0.0,1249.5311266921776,89.08153833940591,194.67368686602174,279.7753496934481,3549.702055581873,0.0,47.38923536905743,0.0,345.0707436401823,8.732891415762872,0.0,0.0
"Cubiertas, cámaras y recauchutado de cubiertas",24760.761757049015,1787.2124132688823,1217.4103925781367,3828.333407781239,988.6515906965179,6600.73523381911,120.9321203448402,7540.44209957868,25.78197708061889,674.4270710005903,1.3375764484744501,0.0,0.0,0.0,1.6208219416339602,0.3311378530602852,1.1750681620288967,0.422288882083731,0.0,0.7243994376725094,0.11236230812688364,0.0,0.0,0.007055323916922958,0.42553908748365754,0.0,0.0,0.6840493267319345,0.0,1.4331820347648163,0.03622789921386496,0.4484490718880678,0.0156961138825948,0.06619320753517438,0.024099083940950932,0.2783285648575509,0.0692848663302547,0.0021403791658083176,0.0,2.718281540576709,2.522238663649152,0.0,0.057790237476829515,0.2934697656230686,0.0,0.36985475317594335,0.0,0.06032698315482998,0.5645051866563217,0.005469857868176187,0.0,0.13167295534843398,0.1352402539581204,0.33437478968074597,0.2112633509955367,0.0,1188.9702343082126,545.1117669668125,2.44457816993817,0.19247557831787004,0.12469690473394117,0.27983475760384285,0.0,3.627546319533031,0.0,0.016409573604532077,0.0,0.39121374752834076,0.314715010676307,0.21364155006864596,0.0,0.0,0.0,605.7340794411299,0.0,0.012128815272914035,0.0,4.355661491284786,0.035752259399247616,0.011890995365601141,100.16917820577717,47.12963947364194,34.40667101778846,10.585396591137611,57.65021093451489,12867.570295410605,170.99768012164495,641.31333242633,55.086377376718154,28.488924689299278,1.0457734057534143,0.0,721.7921387553154,0.0,254.70512073119696,890.9702863575521,180.0131149744546,298.8012132602341,0.0,0.0,65816.61396006706,275839.9846175352,0.0,0.0,0.0,0.0,73.724171266733,0.0,0.0,0.0,3809.346671757912,0.0,915.8705349848419,93.13148450540338,227.1628188390053,426.96817017906005,2814.4756370954565,0.0,0.0,0.0,10820.521233628802,0.0,0.0,0.0
Productos de caucho,12538.291034435431,442.6412205792525,306.65419457809435,2114.2261650258865,350.12456312467623,548.3317050623281,416.5126816803031,22288.299026357738,9.37145721875142,37.50024671125867,82.61455152536182,0.0,0.0,0.0,748.7088139473854,0.0,3.6591207217077555,0.0,0.0,466.14552211751317,2.300120623379167,41.511513578102324,0.0,0.0,97.83301464409331,0.0,0.0,114.99167606348063,0.0,0.0,233.5232110094305,0.0,0.0,9090.625971988913,0.0,0.0,52.06593489075395,0.0,1551.7764261845068,645.4424374811929,21.826544993275625,0.0,0.0,3861.894854068686,0.0,0.0,81.80147874108678,0.0,0.0,22.420582506453822,0.0,4.370013581588664,4642.541275714959,468.71811877323336,12232.065101148759,0.0,7621.521388047096,24732.499505039115,613.1457222358877,212.3707513012656,0.0,0.0,0.0,444.8285927337795,0.0,68.27337070419931,0.0,2398.766303905345,726.9901712954041,110.97143545534,0.0,2161.0713690979896,3555.6644916014984,6873.3459333236115,2769.1622207765395,7758.613965445911,0.0,0.0,167.17125155525338,0.0,1834.6642218139045,864.4548341204757,631.1222488652272,193.52978454879678,1056.6486647315116,63425.525132310824,3133.554386719924,11863.33123448557,844.8444258191696,522.5729105953579,648.2474312148482,0.0,7.407739821569615,0.0,2.2860249155031074,5120.7281716374755,3301.984138168301,5480.916580943278,781.4292332795073,38036.22241767305,0.0,0.0,0.0,0.9990077283071908,0.0,0.0,5.7510015708201365,26.726554554778915,98.42529224399998,37.121399629240315,67597.97912257598,0.0,3413.8296998142027,2594.6537377653362,5488.554915153785,4750.510371638406,43709.919208899155,2.762523799387972,0.0,3411.156286423715,4444.371298657747,0.0,0.0,0.0
